         :::::,       0               ,5               ,9               ,12              ,13              ,16              ,23              ,36              ,37              ,39              ,45              
                     ,kehua           ,kehu            ,kehut           ,kehuu           ,kehuta          ,kehunee         ,kehui           ,kehuttu         ,kehuen          ,kehuisi         ,kehuma          
                     ,V Inf1 Lat      ,V Impv Act Sg2  ,V Prs Act Sg2   ,V Prs Act Sg3   ,V Prs Pass ConNe,V Pot Act Sg3   ,V Pst Act Sg3   ,V Pst Pass ConNe,V Inf2 Act Ins  ,V Cond Act Sg3  ,AgPrc Pos Nom Sg
                     ,a              ,                ,t               ,                ,a               ,ee              ,i               ,tu              ,ne              ,isi             ,ma              
52  ;hioa            ,               ,                ,                ,*               ,t               ,n               ,                ,t               ,                ,                ,                
53  ;sulaa           ,a              ,a               ,azzz            ,aa               ,et             ,an              ,                ,et              ,a               ,a               ,a               
54  ;pieksää         ,a              ,a               ,a               ,aa              ,et              ,an              ,s-             ,et              ,a               ,a               ,a               
55  ;soutaa          ,a              ,a               ,a               ,aa              ,et              ,an              ,s-              ,et              ,a               ,a               ,a               
56  ;jauhaa          ,a              ,a               ,a               ,a               ,et              ,an              ,o               ,et              ,a               ,a               ,a               
57  ;kaataa          ,a              ,a               ,a               ,aa              ,et              ,an              ,o               ,et              ,a               ,a               ,a               
58  ;laskea          ,e              ,e               ,e               ,ee              ,et              ,en              ,                ,et              ,i               ,                ,e               
59  ;tuntea          ,e              ,e               ,e               ,ee              ,et              ,en              ,s-              ,et              ,i               ,                ,e               
60  ;lähteä          ,e              ,e               ,e               ,ee              ,et              ,en              ,               ,et              ,i               ,                ,e               
61  ;kolhia          ,i              ,i               ,i               ,ii              ,it              ,in              ,                ,it              ,i               ,                ,i               
62  ;naida           ,d              ,                ,                ,                ,d               ,n               ,_               ,                ,d               ,_               ,                
63  ;saada           ,d              ,                ,                ,                ,d               ,n               ,_               ,                ,d               ,_               ,                
64  ;viedä           ,d              ,                ,                ,                ,d              ,n                ,__              ,                ,d              ,__              ,                
65  ;käydä           ,d              ,                ,                ,                ,da              ,n               ,_v              ,                ,da              ,_v              ,                
66  ;päästä          ,st             ,se              ,se              ,see             ,sta             ,ss              ,s               ,s               ,sta             ,s               ,se              
67  ;puhella         ,*              ,e               ,e               ,ee              ,*a              ,*               ,                ,                ,*a              ,                ,e               
68  ;aterioida       ,d              ,tse             ,tse             ,tsee            ,da              ,n               ,ts              ,                ,da              ,ts              ,tse             
69  ;vangita         ,t              ,tse             ,tse             ,tsee            ,ta              ,nn              ,ts              ,t               ,ta              ,ts              ,tse             
70  ;piestä          ,st             ,kse             ,kse             ,ksee            ,sta             ,ss              ,ks              ,s               ,sta             ,ks              ,kse             
71  ;nähdä           ,d              ,e-              ,e-              ,kee-            ,da              ,n               ,-              ,                ,da              ,k-               ,ke-              
72  ;vanheta         ,t              ,ne              ,ne              ,nee             ,ta              ,nn              ,n               ,t               ,ta              ,n               ,ne              
73  ;niiata          ,t              ,a               ,a               ,a               ,ta              ,nn              ,s               ,t               ,ta              ,                ,a               
74  ;katketa         ,t              ,a               ,a               ,aa              ,ta              ,nn              ,s               ,t               ,ta              ,a               ,a               
75  ;nimetä          ,t              ,a               ,a               ,aa              ,ta              ,nn              ,s               ,t               ,ta              ,a               ,a               
76  ;taitaa          ,a              ,a               ,a               ,aa              ,et              ,an              ,s-              ,et              ,a              ,a               ,a               
77  ;kumajaa         ,aaj            ,x               ,x               ,ajaa            ,x               ,x               ,aj              ,x               ,x               ,aja             ,x               
78  ;kaikaa          ,a              ,x               ,x               ,aa              ,aa              ,x               ,x               ,x               ,aa              ,a               ,x               
